,cv_mean_acc,cv_std_acc,cv_min_acc,cv_max_acc,mean ± std (%)
SVM (RBF kernel),0.7571826932923708,0.04330540529275568,0.6587301587301587,0.7983870967741935,75.72 ± 4.33
Logistic Regression,0.8806238607270865,0.030361431276596632,0.832,0.9435483870967742,88.06 ± 3.04
Random Forest (500 trees),0.8269452124935996,0.042017009644359185,0.753968253968254,0.8870967741935484,82.69 ± 4.20
XGBoost (500 trees),0.7956355350742448,0.03532541860889049,0.752,0.8629032258064516,79.56 ± 3.53
