,val_acc,test_acc,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_f1_macro,test_kappa,train_time_s
Logistic Regression,0.8582089552238806,0.8268551236749117,0.8351470084685633,0.8268551236749117,0.8278912335232149,0.8244494423939734,0.8191881918819188,0.20560932159423828
Random Forest (500 trees),0.835820895522388,0.8091872791519434,0.8224940131293719,0.8091872791519434,0.8003272809467415,0.7941944745936501,0.8005065009660071,11.665914058685303
SVM (RBF kernel),0.8059701492537313,0.7667844522968198,0.850329513499189,0.7667844522968198,0.7797883788861252,0.7735951268318494,0.7561013828495319,32.079827070236206
XGBoost (500 trees),0.8022388059701493,0.7526501766784452,0.763012090971455,0.7526501766784452,0.751000933360675,0.7401299764709218,0.741623299552634,54.7069091796875
