,val_acc,test_acc,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_f1_macro,test_kappa,cv_mean_acc,cv_std_acc
Logistic Regression,0.8582089552238806,0.8268551236749117,0.8351470084685633,0.8268551236749117,0.8278912335232149,0.8244494423939734,0.8191881918819188,0.8806238607270865,0.030361431276596632
Random Forest (500 trees),0.835820895522388,0.8091872791519434,0.8224940131293719,0.8091872791519434,0.8003272809467415,0.7941944745936501,0.8005065009660071,0.8269452124935996,0.042017009644359185
SVM (RBF kernel),0.8059701492537313,0.7667844522968198,0.850329513499189,0.7667844522968198,0.7797883788861252,0.7735951268318494,0.7561013828495319,0.7571826932923708,0.04330540529275568
XGBoost (500 trees),0.8022388059701493,0.7526501766784452,0.763012090971455,0.7526501766784452,0.751000933360675,0.7401299764709218,0.741623299552634,0.7956355350742448,0.03532541860889049
