,cv_mean_acc,cv_std_acc,cv_min_acc,cv_max_acc,mean ± std (%)
SVM (RBF kernel),0.32814500768049154,0.05262960136996252,0.23809523809523808,0.43548387096774194,32.81 ± 5.26
Logistic Regression,0.8517911930363542,0.039307957377319604,0.792,0.9274193548387096,85.18 ± 3.93
Random Forest (500 trees),0.7764672811059907,0.05160011180275464,0.688,0.8548387096774194,77.65 ± 5.16
XGBoost (500 trees),0.7675453149001535,0.04131774997001937,0.712,0.8467741935483871,76.75 ± 4.13
