,val_acc,test_acc,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_f1_macro,test_kappa,train_time_s
Logistic Regression,0.8544776119402985,0.8480565371024735,0.8640572010843265,0.8480565371024735,0.8482769257177923,0.8456413308650254,0.8412704624013565,0.6298348903656006
Random Forest (500 trees),0.7723880597014925,0.734982332155477,0.7346728269663921,0.734982332155477,0.7231954434319975,0.7131647419874195,0.7229003746883037,13.657616138458252
XGBoost (500 trees),0.75,0.7526501766784452,0.7612349179954668,0.7526501766784452,0.7506491190716712,0.7392054917880815,0.7415255343023408,66.74757790565491
SVM (RBF kernel),0.39552238805970147,0.37809187279151946,0.7815729502739795,0.37809187279151946,0.45408575449308863,0.43366824723828384,0.3484465955916016,33.24913549423218
