component,explained_variance_pct,cumulative_variance_pct
1,5.251210555434227,5.251210555434227
2,4.614337906241417,9.865548461675644
3,3.3845126628875732,13.250061124563217
4,3.2161198556423187,16.466180980205536
5,3.100666217505932,19.566847197711468
6,2.855067513883114,22.42191471159458
7,2.5630801916122437,24.984994903206825
8,2.427544817328453,27.41253972053528
9,2.287694998085499,29.700234718620777
10,2.2119583562016487,31.912193074822426
11,1.916433870792389,33.828626945614815
12,1.7853764817118645,35.61400342732668
13,1.7191821709275246,37.333185598254204
14,1.6734560951590538,39.00664169341326
15,1.615842618048191,40.62248431146145
16,1.4976809732615948,42.12016528472304
17,1.4399404637515545,43.5601057484746
18,1.4109047129750252,44.97101046144962
19,1.3208662159740925,46.291876677423716
20,1.2499959208071232,47.54187259823084
21,1.2161576189100742,48.75803021714091
22,1.1234122328460217,49.881442449986935
23,1.0985441505908966,50.97998660057783
24,1.0509785264730453,52.03096512705088
25,1.035073958337307,53.066039085388184
26,1.0113932192325592,54.07743230462074
27,0.9323456324636936,55.009777937084436
28,0.9138145484030247,55.92359248548746
29,0.8846933953464031,56.808285880833864
30,0.8352268487215042,57.64351272955537
31,0.8251442573964596,58.46865698695183
32,0.8023560047149658,59.271012991666794
33,0.7664627861231565,60.03747577778995
34,0.7529484573751688,60.79042423516512
35,0.7209849078208208,61.51140914298594
36,0.7135382853448391,62.22494742833078
37,0.6978750694543123,62.92282249778509
38,0.6773446686565876,63.60016716644168
39,0.6454166956245899,64.24558386206627
40,0.6318014115095139,64.87738527357578
41,0.6283538416028023,65.50573911517859
42,0.6136303301900625,66.11936944536865
43,0.6035335827618837,66.72290302813053
44,0.5811436101794243,67.30404663830996
45,0.5667242221534252,67.87077086046338
46,0.5549696274101734,68.42574048787355
47,0.5395938642323017,68.96533435210586
48,0.5209074821323156,69.48624183423817
49,0.5193615797907114,70.00560341402888
50,0.5048085935413837,70.51041200757027
51,0.4877953324466944,70.99820734001696
52,0.4849194549024105,71.48312679491937
53,0.46464712359011173,71.94777391850948
54,0.45992834493517876,72.40770226344466
55,0.43681846000254154,72.8445207234472
56,0.4250523168593645,73.26957304030657
57,0.42171264067292213,73.69128568097949
58,0.4119770135730505,74.10326269455254
59,0.401872955262661,74.5051356498152
60,0.393314054235816,74.89844970405102
61,0.3886116901412606,75.28706139419228
62,0.38614156655967236,75.67320296075195
63,0.37643322721123695,76.04963618796319
64,0.3676628926768899,76.41729908064008
65,0.3527246415615082,76.77002372220159
66,0.3478631842881441,77.11788690648973
67,0.34478809684515,77.46267500333488
68,0.3390563419088721,77.80173134524375
69,0.3353910753503442,78.1371224205941
70,0.3266745712608099,78.4637969918549
71,0.31629852019250393,78.78009551204741
72,0.3107969416305423,79.09089245367795
73,0.30340251978486776,79.39429497346282
74,0.3002662677317858,79.6945612411946
75,0.29649485368281603,79.99105609487742
76,0.29207896441221237,80.28313505928963
77,0.29006674885749817,80.57320180814713
78,0.28660481330007315,80.8598066214472
79,0.2825107192620635,81.14231734070927
80,0.27216803282499313,81.41448537353426
81,0.27068275958299637,81.68516813311726
82,0.2621507504954934,81.94731888361275
83,0.2550311619415879,82.20235004555434
84,0.2525563817471266,82.45490642730147
85,0.25178268551826477,82.70668911281973
86,0.24249623529613018,82.94918534811586
87,0.2363548381254077,83.18554018624127
88,0.23348825052380562,83.41902843676507
89,0.22694752551615238,83.64597596228123
90,0.22221258841454983,83.86818855069578
91,0.21820820402354002,84.08639675471932
92,0.21603540517389774,84.30243215989321
93,0.2138499403372407,84.51628210023046
94,0.21274401806294918,84.7290261182934
95,0.2109775086864829,84.94000362697989
96,0.20326182711869478,85.14326545409858
97,0.1997202867642045,85.34298574086279
98,0.19654969219118357,85.53953543305397
99,0.19128273706883192,85.7308181701228
100,0.18867524340748787,85.91949341353029
101,0.18579682800918818,86.10529024153948
102,0.18406976014375687,86.28936000168324
103,0.17475489294156432,86.4641148946248
104,0.17244081245735288,86.63655570708215
105,0.16860516043379903,86.80516086751595
106,0.16286864411085844,86.96802951162681
107,0.16053011640906334,87.12855962803587
108,0.15787169104442,87.2864313190803
109,0.15642106300219893,87.44285238208249
110,0.15225557144731283,87.5951079535298
111,0.14886625576764345,87.74397420929745
112,0.14594784006476402,87.88992204936221
113,0.14281861949712038,88.03274066885933
114,0.14163459418341517,88.17437526304275
115,0.1397006562910974,88.31407591933385
116,0.13666744343936443,88.45074336277321
117,0.13472643913701177,88.58546980191022
118,0.13226402224972844,88.71773382415995
119,0.1307172467932105,88.84845107095316
120,0.1265598344616592,88.97501090541482
121,0.12428812915459275,89.09929903456941
122,0.1229926710948348,89.22229170566425
123,0.12112066615372896,89.34341237181798
124,0.1180772902444005,89.46148966206238
125,0.11493860511109233,89.57642826717347
126,0.11403199750930071,89.69046026468277
127,0.11047678999602795,89.8009370546788
128,0.10884393705055118,89.90978099172935
129,0.10743341408669949,90.01721440581605
130,0.10589618468657136,90.12311059050262
131,0.10278571862727404,90.2258963091299
132,0.10127252899110317,90.327168838121
133,0.10029460536316037,90.42746344348416
134,0.09783828863874078,90.5253017321229
135,0.0974565336946398,90.62275826581754
136,0.09597663884051144,90.71873490465805
137,0.09397392859682441,90.81270883325487
138,0.09202268556691706,90.90473151882179
139,0.09116637520492077,90.99589789402671
140,0.09005444590002298,91.08595233992673
141,0.08673775591887534,91.17269009584561
142,0.08591951336711645,91.25860960921273
143,0.08483525016345084,91.34344485937618
144,0.08352371514774859,91.42696857452393
145,0.08258569287136197,91.50955426739529
146,0.08161335717886686,91.59116762457415
147,0.07956493063829839,91.67073255521245
148,0.07820738246664405,91.7489399376791
149,0.07756475824862719,91.82650469592772
150,0.07674142834730446,91.90324612427503
151,0.07549346191808581,91.97873958619311
152,0.07379594026133418,92.05253552645445
153,0.0727919745258987,92.12532750098035
154,0.07242410792969167,92.19775160891004
155,0.07130317972041667,92.26905478863046
156,0.07031784043647349,92.33937262906693
157,0.0696766481269151,92.40904927719384
158,0.06862302543595433,92.4776723026298
159,0.06736979121342301,92.54504209384322
160,0.06730100722052157,92.61234310106374
161,0.066374521702528,92.67871762276627
162,0.06444065365940332,92.74315827642567
163,0.06342591368593276,92.80658419011161
164,0.062490993877872825,92.86907518398948
165,0.06188920815475285,92.93096439214423
166,0.060942251002416015,92.99190664314665
167,0.05995323299430311,93.05185987614095
168,0.05975485546514392,93.1116147316061
169,0.058772903867065907,93.17038763547316
170,0.05861339741386473,93.22900103288703
171,0.05772719159722328,93.28672822448425
172,0.056911708088591695,93.34363993257284
173,0.056241778656840324,93.39988171122968
174,0.05552423535846174,93.45540594658814
175,0.05477318773046136,93.5101791343186
176,0.05466353031806648,93.56484266463667
177,0.05330894491635263,93.61815160955302
178,0.05274828872643411,93.67089989827946
179,0.05245789070613682,93.7233577889856
180,0.05207948852330446,93.7754372775089
181,0.05151077639311552,93.82694805390202
182,0.050908763660117984,93.87785681756213
183,0.05048064049333334,93.92833745805547
184,0.05011974135413766,93.9784571994096
185,0.04908365081064403,94.02754085022025
186,0.048312501166947186,94.0758533513872
187,0.04755900881718844,94.12341236020438
188,0.047094078036025167,94.17050643824041
189,0.046942016342654824,94.21744845458306
190,0.04590590251609683,94.26335435709916
191,0.045144607429392636,94.30849896452855
192,0.04504768003243953,94.35354664456099
193,0.04440981429070234,94.3979564588517
194,0.0437516369856894,94.44170809583738
195,0.04364776250440627,94.48535585834179
196,0.04295998369343579,94.52831584203523
197,0.04261099675204605,94.57092683878727
198,0.041508927824907005,94.61243576661218
199,0.04066090623382479,94.653096672846
200,0.04033866571262479,94.69343533855863
201,0.04005999944638461,94.73349533800501
202,0.03981230838689953,94.77330764639191
203,0.03931915853172541,94.81262680492364
204,0.03889487124979496,94.85152167617343
205,0.03843746962957084,94.889959145803
206,0.038174871588125825,94.92813401739113
207,0.03788910689763725,94.96602312428877
208,0.03728681767825037,95.00330994196702
209,0.03715043421834707,95.04046037618537
210,0.03695890191011131,95.07741927809548
211,0.036698050098493695,95.11411732819397
212,0.03604494268074632,95.15016227087472
213,0.035895840846933424,95.18605811172165
214,0.03572801942937076,95.22178613115102
215,0.03553986316546798,95.25732599431649
216,0.034952026908285916,95.29227802122477
217,0.034328174660913646,95.32660619588569
218,0.03391210921108723,95.36051830509678
219,0.03384666924830526,95.39436497434508
220,0.03320405085105449,95.42756902519614
221,0.033045365125872195,95.46061439032201
222,0.03246859123464674,95.49308298155665
223,0.03224198590032756,95.52532496745698
224,0.03207169647794217,95.55739666393492
225,0.03167605318594724,95.58907271712087
226,0.031387191847898066,95.62045990896877
227,0.03133867576252669,95.6517985847313
228,0.031010439852252603,95.68280902458355
229,0.03066346689593047,95.71347249147948
230,0.030490130302496254,95.74396262178198
231,0.029977728263475,95.77394035004545
232,0.029668057686649263,95.8036084077321
233,0.02920675033237785,95.83281515806448
234,0.029050774173811078,95.86186593223829
235,0.028770737117156386,95.89063666935544
236,0.028501442284323275,95.91913811163977
237,0.027670332929119468,95.94680844456889
238,0.027513611712493002,95.97432205628138
239,0.027412865892983973,96.00173492217436
240,0.02714695583563298,96.02888187801
241,0.026806059759110212,96.05568793776911
242,0.026584640727378428,96.08227257849649
243,0.026172379148192704,96.10844495764468
244,0.02558738924562931,96.13403234689031
245,0.02552088990341872,96.15955323679373
246,0.025292130885645747,96.18484536767937
247,0.025022937916219234,96.20986830559559
248,0.02465141878928989,96.23451972438488
249,0.024463905720040202,96.25898363010492
250,0.02400414668954909,96.28298777679447
251,0.023714147391729057,96.3067019241862
252,0.02358884084969759,96.3302907650359
253,0.02318857441423461,96.35347933945013
254,0.023163856531027704,96.37664319598116
255,0.02272673591505736,96.39936993189622
256,0.022363530297297984,96.42173346219352
