component,explained_variance_pct,cumulative_variance_pct
1,7.056467235088348,7.056467235088348
2,4.263611137866974,11.320078372955322
3,3.943832591176033,15.263910964131355
4,3.505943715572357,18.769854679703712
5,2.969418093562126,21.73927277326584
6,2.8894783928990364,24.628751166164875
7,2.7579879388213158,27.38673910498619
8,2.230869047343731,29.61760815232992
9,2.119099907577038,31.73670805990696
10,1.8736878409981728,33.61039590090513
11,1.7699705436825752,35.38036644458771
12,1.5233987011015415,36.90376514568925
13,1.4523020945489407,38.35606724023819
14,1.3281358405947685,39.68420308083296
15,1.2955603189766407,40.9797633998096
16,1.2278861366212368,42.207649536430836
17,1.1881912127137184,43.395840749144554
18,1.104702614247799,44.50054336339235
19,1.0599003173410892,45.56044368073344
20,0.9956526570022106,46.55609633773565
21,0.9345605038106441,47.4906568415463
22,0.8739502169191837,48.36460705846548
23,0.8651756681501865,49.22978272661567
24,0.8175739087164402,50.04735663533211
25,0.7851095870137215,50.83246622234583
26,0.782023835927248,51.61449005827308
27,0.7442623376846313,52.35875239595771
28,0.6854393519461155,53.044191747903824
29,0.6728796754032373,53.71707142330706
30,0.6386335007846355,54.3557049240917
31,0.6326417438685894,54.988346667960286
32,0.6194212008267641,55.60776786878705
33,0.5948746111243963,56.20264247991145
34,0.5615546368062496,56.764197116717696
35,0.5527503788471222,57.31694749556482
36,0.5408927798271179,57.857840275391936
37,0.5194287281483412,58.37726900354028
38,0.5038862116634846,58.88115521520376
39,0.4942517727613449,59.37540698796511
40,0.4624086432158947,59.837815631181
41,0.4597852937877178,60.29760092496872
42,0.4460659809410572,60.74366690590978
43,0.4295051097869873,61.173172015696764
44,0.42519066482782364,61.59836268052459
45,0.40699983946979046,62.00536251999438
46,0.40285205468535423,62.40821457467973
47,0.39175720885396004,62.79997178353369
48,0.3895532339811325,63.189525017514825
49,0.37681644316762686,63.56634146068245
50,0.3704369068145752,63.93677836749703
51,0.3543382044881582,64.29111657198519
52,0.34524600487202406,64.63636257685721
53,0.3424540162086487,64.97881659306586
54,0.3364522708579898,65.31526886392385
55,0.32083718106150627,65.63610604498535
56,0.31724963337183,65.95335567835718
57,0.30889094341546297,66.26224662177265
58,0.30111109372228384,66.56335771549493
59,0.2976699732244015,66.86102768871933
60,0.28755120001733303,67.14857888873667
61,0.2790336264297366,67.4276125151664
62,0.27526337653398514,67.70287589170039
63,0.2659216057509184,67.9687974974513
64,0.26484380941838026,68.23364130686969
65,0.256928033195436,68.49056934006512
66,0.256423675455153,68.74699301552027
67,0.24969254154711962,68.9966855570674
68,0.2416572766378522,69.23834283370525
69,0.24036651011556387,69.47870934382081
70,0.23638312704861164,69.71509247086942
71,0.23295837454497814,69.9480508454144
72,0.2291534561663866,70.17720430158079
73,0.22518453188240528,70.40238883346319
74,0.22418471053242683,70.62657354399562
75,0.21731671877205372,70.84389026276767
76,0.21459052804857492,71.05848079081625
77,0.2117183292284608,71.27019912004471
78,0.21014390513300896,71.48034302517772
79,0.20722397603094578,71.68756700120866
80,0.20164861343801022,71.88921561464667
81,0.1962829614058137,72.08549857605249
82,0.19459467148408294,72.28009324753657
83,0.19194930791854858,72.47204255545512
84,0.18834567163139582,72.66038822708651
85,0.1849380903877318,72.84532631747425
86,0.18425623420625925,73.0295825516805
87,0.18127457005903125,73.21085712173954
88,0.18085220362991095,73.39170932536945
89,0.17867208225652575,73.57038140762597
