,cv_mean_acc,cv_std_acc,cv_min_acc,cv_max_acc,mean ± std (%)
SVM (RBF kernel),0.26556374807987715,0.03999953012262136,0.19047619047619047,0.33064516129032256,26.56 ± 4.00
Logistic Regression,0.8910820276497695,0.03545791250308001,0.84,0.9435483870967742,89.11 ± 3.55
Random Forest (500 trees),0.8293649769585253,0.04064031014633099,0.784,0.8870967741935484,82.94 ± 4.06
XGBoost (500 trees),0.7988423963133642,0.03602882384984871,0.744,0.8629032258064516,79.88 ± 3.60
