,val_acc,test_acc,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_f1_macro,test_kappa,train_time_s
Logistic Regression,0.8731343283582089,0.8798586572438163,0.8897704964842773,0.8798586572438163,0.8806361694680702,0.8786563340253272,0.8745240206561995,1.9007110595703125
Random Forest (500 trees),0.832089552238806,0.823321554770318,0.8394686888321268,0.823321554770318,0.819880323836361,0.8178536692011654,0.8153633362475046,10.395579099655151
XGBoost (500 trees),0.8171641791044776,0.7915194346289752,0.8061101824631675,0.7915194346289752,0.7905390676248031,0.7859772164158129,0.7822139903739549,39.910914182662964
SVM (RBF kernel),0.3358208955223881,0.2968197879858657,0.7332656112923921,0.2968197879858657,0.3542389348420483,0.34063970613893213,0.26326186208971636,30.578880786895752
