,val_acc,test_acc,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_f1_macro,test_kappa,cv_mean_acc,cv_std_acc
Logistic Regression,0.8843283582089553,0.872791519434629,0.87403739762397,0.872791519434629,0.8708771428646791,0.8654668274098883,0.8671361502347418,0.888610650281618,0.02888957935165517
Random Forest (500 trees),0.8470149253731343,0.8197879858657244,0.8246433625382908,0.8197879858657244,0.8156757382705198,0.8119612929528334,0.8117074570787455,0.8349647721454174,0.04371854774540719
SVM (RBF kernel),0.8246268656716418,0.8021201413427562,0.8817044361213973,0.8021201413427562,0.8192086251082595,0.8131632933523716,0.7931232540532074,0.7940609318996416,0.03867997034789124
XGBoost (500 trees),0.8022388059701493,0.734982332155477,0.7553585153616332,0.734982332155477,0.7361539383176735,0.7279893063750773,0.7232039227448781,0.791615873015873,0.04663734684525645
