,cv_mean_acc,cv_std_acc,cv_min_acc,cv_max_acc,mean ± std (%)
SVM (RBF kernel),0.7940609318996416,0.03867997034789124,0.7222222222222222,0.8548387096774194,79.41 ± 3.87
Logistic Regression,0.888610650281618,0.02888957935165517,0.8253968253968254,0.928,88.86 ± 2.89
Random Forest (500 trees),0.8349647721454174,0.04371854774540719,0.7698412698412699,0.8951612903225806,83.50 ± 4.37
XGBoost (500 trees),0.791615873015873,0.04663734684525645,0.7301587301587301,0.8709677419354839,79.16 ± 4.66
