,cv_mean_acc,cv_std_acc,cv_min_acc,cv_max_acc,mean ± std (%)
SVM (RBF kernel),0.902288581669227,0.03141469346768539,0.864,0.967741935483871,90.23 ± 3.14
Logistic Regression,0.8974755760368665,0.02973925348222522,0.8571428571428571,0.9435483870967742,89.75 ± 2.97
Random Forest (500 trees),0.8445714285714285,0.03847483538891934,0.7857142857142857,0.9193548387096774,84.46 ± 3.85
XGBoost (500 trees),0.8165321044546852,0.04034598614393824,0.7380952380952381,0.8790322580645161,81.65 ± 4.03
