,val_acc,test_acc,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_f1_macro,test_kappa,train_time_s
SVM (RBF kernel),0.9067164179104478,0.8798586572438163,0.887223880879046,0.8798586572438163,0.877951384527207,0.8777013528836147,0.8744765507794665,11.414695978164673
Logistic Regression,0.8731343283582089,0.8975265017667845,0.8999156516824361,0.8975265017667845,0.8963447396272731,0.8941964391517788,0.8929596202003339,0.4372992515563965
Random Forest (500 trees),0.8544776119402985,0.8409893992932862,0.8585923646436013,0.8409893992932862,0.8381059550796253,0.8376414231936025,0.8338226658837345,12.790885210037231
XGBoost (500 trees),0.8470149253731343,0.8268551236749117,0.8427314230031959,0.8268551236749117,0.8256321668390669,0.8239229764940726,0.8191339506977957,44.26297879219055
