,val_acc,test_acc,test_precision_weighted,test_recall_weighted,test_f1_weighted,test_f1_macro,test_kappa,cv_mean_acc,cv_std_acc
Logistic Regression,0.8805970149253731,0.823321554770318,0.8293735168501328,0.823321554770318,0.8212870352485009,0.8194030724872307,0.8153874254700119,0.8694235535074245,0.04841072492182071
SVM (RBF kernel),0.8731343283582089,0.8197879858657244,0.8275240268173131,0.8197879858657244,0.8167499203917153,0.8156572766518103,0.8117123698698046,0.8638104454685098,0.03724662809913744
Random Forest (500 trees),0.8208955223880597,0.8021201413427562,0.807685193683427,0.8021201413427562,0.7964789683460461,0.7921304595998775,0.7931610545549466,0.7932162826420891,0.03166883292957748
XGBoost (500 trees),0.8097014925373134,0.7667844522968198,0.7731252453867294,0.7667844522968198,0.7650780228588004,0.765523622526417,0.7563622608037776,0.7684795698924731,0.05000327996333222
