,cv_mean_acc,cv_std_acc,cv_min_acc,cv_max_acc,mean ± std (%)
SVM (RBF kernel),0.8638104454685098,0.03724662809913744,0.8095238095238095,0.9354838709677419,86.38 ± 3.72
Logistic Regression,0.8694235535074245,0.04841072492182071,0.776,0.9354838709677419,86.94 ± 4.84
Random Forest (500 trees),0.7932162826420891,0.03166883292957748,0.744,0.8467741935483871,79.32 ± 3.17
XGBoost (500 trees),0.7684795698924731,0.05000327996333222,0.6666666666666666,0.8306451612903226,76.85 ± 5.00
