,val_acc,test_acc,test_f1_weighted,test_kappa
Logistic Regression,0.8763636363636363,0.8275862068965517,0.825409926953306,0.8198847262247839
SVM (RBF kernel),0.8654545454545455,0.8517241379310345,0.8506620388425176,0.8450835455618362
Random Forest (500 trees),0.8254545454545454,0.7793103448275862,0.7759991690861139,0.7693894286921299
XGBoost (500 trees),0.7927272727272727,0.7413793103448276,0.7384854123866835,0.7298539348171702
